id,name,WKT
0D302A65B73C3A2F9B08,RF1,POINT Z (-9.69639917334434 51.9856556785366 292.2824861626073)
0E091B9FE13C3A308633,RF2,POINT Z (-9.686605341196005 51.99543727765013 520.8088346340081)
066D88D2963C3A30AFE0,RF3,POINT Z (-9.69630957907066 52.00154476655387 681.5137192357728)
0FBF58AB9E3C3A30CE54,RF4,POINT Z (-9.709056026849746 51.9947570590357 539.70349489956)
0DE3FDD45D3C3A30EA14,RF5,POINT Z (-9.719488533897618 51.99847222571262 336.0247806716218)
010219D3C33C3A311438,RF6,POINT Z (-9.726087910130923 52.00360273126971 344.5238792888862)
00B10DC0333C3A31359C,SINK,POINT Z (-9.673732118166491 51.98073245899425 82.07433325703163)
RISNEW_800000,RIS_0->3_1,POINT Z (-9.700993047960457 51.992664555452656 861.4525110705298)
RISNEW_800001,RIS_0->3_2,POINT Z (-9.70317120964257 51.99322267793021 895.5785621126198)
RISNEW_800002,RIS_3->4_1,POINT Z (-9.707943259225022 51.996099830723885 589.6420157411736)
RISNEW_800003,RIS_1->2_1,POINT Z (-9.690573146143027 51.99821202497679 799.5193457715052)
RISNEW_800004,RIS_1->2_2,POINT Z (-9.692764455789227 51.99953320418112 879.5097691068623)
RISNEW_800006,RIS_sink->1_1,POINT Z (-9.68254361241096 51.98971616157102 554.9189381016489)
